code,file_name,suffix
00S49,00S495DD.zip,DD
00S49,00S495FT.zip,FT
00S49,00S495H3.zip,H3
00S49,00S495H5.zip,H5
00S49,00S495HN.zip,HN
00S49,00S495OC.zip,OC
00S49,00S495ON.zip,ON
00S49,00S495RS.zip,RS
00S49,00S495SA.zip,SA
00S49,00S495SB.zip,SB
00S49,00S495SC.zip,SC
00S49,00S495SN.zip,SN
00S49,00S495V3.zip,V3
00S49,00S495V5.zip,V5
00S49,00S495VN.zip,VN
00S49,00S495ZN.zip,ZN
00S52,00S525DD.zip,DD
00S52,00S525FT.zip,FT
00S52,00S525H3.zip,H3
00S52,00S525H5.zip,H5
00S52,00S525HN.zip,HN
00S52,00S525OC.zip,OC
00S52,00S525ON.zip,ON
00S52,00S525RS.zip,RS
00S52,00S525SA.zip,SA
00S52,00S525SB.zip,SB
00S52,00S525SC.zip,SC
00S52,00S525SN.zip,SN
00S52,00S525V3.zip,V3
00S52,00S525V5.zip,V5
00S52,00S525VN.zip,VN
00S52,00S525ZN.zip,ZN
00S55,00S555DD.zip,DD
00S55,00S555FT.zip,FT
00S55,00S555H3.zip,H3
00S55,00S555H5.zip,H5
00S55,00S555HN.zip,HN
00S55,00S555OC.zip,OC
00S55,00S555ON.zip,ON
00S55,00S555RS.zip,RS
00S55,00S555SA.zip,SA
00S55,00S555SB.zip,SB
00S55,00S555SC.zip,SC
00S55,00S555SN.zip,SN
00S55,00S555V3.zip,V3
00S55,00S555V5.zip,V5
00S55,00S555VN.zip,VN
00S55,00S555ZN.zip,ZN
00S58,00S585DD.zip,DD
00S58,00S585FT.zip,FT
00S58,00S585H3.zip,H3
00S58,00S585H5.zip,H5
00S58,00S585HN.zip,HN
00S58,00S585OC.zip,OC
00S58,00S585ON.zip,ON
00S58,00S585RS.zip,RS
00S58,00S585SA.zip,SA
00S58,00S585SB.zip,SB
00S58,00S585SC.zip,SC
00S58,00S585SN.zip,SN
00S58,00S585V3.zip,V3
00S58,00S585V5.zip,V5
00S58,00S585VN.zip,VN
00S58,00S585ZN.zip,ZN
00S61,00S615DD.zip,DD
00S61,00S615FT.zip,FT
00S61,00S615H3.zip,H3
00S61,00S615H5.zip,H5
00S61,00S615HN.zip,HN
00S61,00S615OC.zip,OC
00S61,00S615ON.zip,ON
00S61,00S615RS.zip,RS
00S61,00S615SA.zip,SA
00S61,00S615SB.zip,SB
00S61,00S615SC.zip,SC
00S61,00S615SN.zip,SN
00S61,00S615V3.zip,V3
00S61,00S615V5.zip,V5
00S61,00S615VN.zip,VN
00S61,00S615ZN.zip,ZN
00S64,00S645DD.zip,DD
00S64,00S645FT.zip,FT
00S64,00S645H3.zip,H3
00S64,00S645H5.zip,H5
00S64,00S645HN.zip,HN
00S64,00S645OC.zip,OC
00S64,00S645ON.zip,ON
00S64,00S645RS.zip,RS
00S64,00S645SA.zip,SA
00S64,00S645SB.zip,SB
00S64,00S645SC.zip,SC
00S64,00S645SN.zip,SN
00S64,00S645V3.zip,V3
00S64,00S645V5.zip,V5
00S64,00S645VN.zip,VN
00S64,00S645ZN.zip,ZN
00S67,00S675DD.zip,DD
00S67,00S675FT.zip,FT
00S67,00S675H3.zip,H3
00S67,00S675H5.zip,H5
00S67,00S675HN.zip,HN
00S67,00S675OC.zip,OC
00S67,00S675ON.zip,ON
00S67,00S675RS.zip,RS
00S67,00S675SA.zip,SA
00S67,00S675SB.zip,SB
00S67,00S675SC.zip,SC
00S67,00S675SN.zip,SN
00S67,00S675V3.zip,V3
00S67,00S675V5.zip,V5
00S67,00S675VN.zip,VN
00S67,00S675ZN.zip,ZN
